id,sku,name,price,currency,in_stock,categories,short_description,permalink
ip5356-pd-qc-22.5w-power-bank-circuit,ip5356-pd-qc-22.5w-power-bank-circuit,IP5356 PD QC 22.5W Fast Charging Power Bank Circuit with Display,290,BDT,yes,,,https://makersbd.com/product/ip5356-pd-qc-22.5w-power-bank-circuit
sw6106-22.5w-fast-charging-power-bank-circuit-pd-qc,sw6106-22.5w-fast-charging-power-bank-circuit-pd-qc,22.5W PD QC SW6106 Fast Charging Power Bank Circuit with Display,280,BDT,yes,,,https://makersbd.com/product/sw6106-22.5w-fast-charging-power-bank-circuit-pd-qc
esp32-c3-development-board-32bit-type-c,esp32-c3-development-board-32bit-type-c,ESP32 C3 Mini Development Board 32-Bit Single-Core Processor 16Pin Type-C,510,BDT,yes,,,https://makersbd.com/product/esp32-c3-development-board-32bit-type-c
type-c-connector-2wire-snap-in-type-c-socket,type-c-connector-2wire-snap-in-type-c-socket,USB Type C Connector USB-C Panel Mount Snap-in Socket 2 Wires,20,BDT,yes,,,https://makersbd.com/product/type-c-connector-2wire-snap-in-type-c-socket
9-in-1-screw-driver-set,9-in-1-screw-driver-set,9 in 1 Interchangeable Screw Driver Set Professional Tool Set,450,BDT,yes,,,https://makersbd.com/product/9-in-1-screw-driver-set
raspberry-pi-pico-board-rp2040-dual-core-arm-low-power-microcomputer,raspberry-pi-pico-board-rp2040-dual-core-arm-low-power-microcomputer,Raspberry Pi Pico Board RP2040 Dual-Core Microcomputer High-Performance with Rai...,500,BDT,yes,,,https://makersbd.com/product/raspberry-pi-pico-board-rp2040-dual-core-arm-low-power-microcomputer
arduino-nano-v3.0-development-board-atmega328p-ch340-non-weld,arduino-nano-v3.0-development-board-atmega328p-ch340-non-weld,Arduino Nano V3.0 ATmega328P Development Board Non Welded,490,BDT,yes,,,https://makersbd.com/product/arduino-nano-v3.0-development-board-atmega328p-ch340-non-weld
esp8266-wifi-module-nodemcu-v3-iot-development-board-ch340-type-c,esp8266-wifi-module-nodemcu-v3-iot-development-board-ch340-type-c,ESP8266 Wifi Module NodeMCU V3 IoT Development Board CH340 Type-C,470,BDT,yes,,,https://makersbd.com/product/esp8266-wifi-module-nodemcu-v3-iot-development-board-ch340-type-c
fy-10-digital-mini-temperature-sensor,fy-10-digital-mini-temperature-sensor,FY-10 Digital Temperature Sensor Display,150,BDT,yes,,,https://makersbd.com/product/fy-10-digital-mini-temperature-sensor
3s-40a-balanced-bms-price-in-bd,3s-40a-balanced-bms-price-in-bd,3S 40A Balanced BMS Lithium battery protection board 12.6V,250,BDT,yes,,,https://makersbd.com/product/3s-40a-balanced-bms-price-in-bd
