product,n_shops,n_rows,udvabony_price,udvabony_url,udvabony_name,techshopbd_price,techshopbd_url,techshopbd_name,makersbd_price,makersbd_url,makersbd_name,electronics.com.bd_price,electronics.com.bd_url,electronics.com.bd_name
RAMPS 1.4 LCD 12864 Blue Screen 12864 LCD Graphic Smart Display Controller Board With Cable For 3D Printer Ramps 1.4 RepRap 3D Printer 128×64 Smart LCD Controller,2,3,1750.0,https://udvabony.com/product/smart-lcd-control-panel-for-3d-printer-12864/,RAMPS 1.4 LCD 12864 Blue Screen 12864 LCD Graphic Smart Display Controller Board With Cable For 3D Printer Ramps 1.4 RepRap 3D Printer 128×64 Smart LCD Controller,,,,,,,1100.0,https://electronics.com.bd/2004-lcd-display-3d-printer,2004 LCD Display 3D Printer Reprap Smart Adapter Controller Reprap Ramps 1.4 1.6 Mega2560
Single Axis TB6560 Stepper Motor Driver Controller DC 10V-35V 3A TB6560 Stepper Motor Driver 3A 35VDC Motor Driver Adapters For CNC Machine 3D Printer DIY,2,2,1200.0,https://udvabony.com/product/0-tb6560-stepper-stepping-motor-driver/,Single Axis TB6560 Stepper Motor Driver Controller DC 10V-35V 3A TB6560 Stepper Motor Driver 3A 35VDC Motor Driver Adapters For CNC Machine 3D Printer DIY,,,,,,,729.0,https://electronics.com.bd/tb6560-single-axis-3a-stepper-motor-driver,TB6560 Single Axis 3A Stepper Motor Driver
TB6600 Stepper Motor Driver Controller DC 9-42V 4A TB6600 Stepper Motor Driver 4A 42VDC Motor Driver Adapters For CNC Machine 3D Printer DIY,1,1,819.0,https://udvabony.com/product/tb6600-4-0a-stepper-motor-driver/,TB6600 Stepper Motor Driver Controller DC 9-42V 4A TB6600 Stepper Motor Driver 4A 42VDC Motor Driver Adapters For CNC Machine 3D Printer DIY,,,,,,,,,
ENC28J60 Ethernet LAN Network Module For Arduino SPI AVR PIC LPC STM32 For Electronic Project,2,3,750.0,https://udvabony.com/product/enc-28j60-ethernet-network-board-module/,ENC28J60 Ethernet LAN Network Module For Arduino SPI AVR PIC LPC STM32 For Electronic Project,,,,,,,650.0,https://electronics.com.bd/mini-enc28j60-ethernet-lan-network-module,Mini ENC28J60 Ethernet LAN Network Module
1Pair- SPEAKER Terminal Banana Connector RED & BLACK 4mm Banana Socket Adapters Amplifier Binding Post Banana Speaker Plug Amplifier Speaker Connector Terminal Speaker Box Terminal Connector,2,6,25.0,https://udvabony.com/product/3-5mm-bullet-connectors-1-pair/,1Pair- BULLET Banana Plug 3.5mm MALE & FEMALE Jack Plug Sockets Cables Connector 3.5mm Male & Female,,,,110.0,https://makersbd.com/product/banana-connector-2-pair-4mm,Banana Plug Socket Jack 2 Pairs Red and Black 4mm,,,
AI Cloud Inside ESP8266 ESP-01S Serial WIFI Wireless Module ESP-01 ESP8266 Serial WI-FI Wireless Transceiver Module ESP8266 Serial Port To Wi-Fi Breakout Module,1,1,160.0,https://udvabony.com/product/esp8266-al-cloud-inside/,AI Cloud Inside ESP8266 ESP-01S Serial WIFI Wireless Module ESP-01 ESP8266 Serial WI-FI Wireless Transceiver Module ESP8266 Serial Port To Wi-Fi Breakout Module,,,,,,,,,
D1 Mini ESP8266 Arduino WIFI Board D1 Mini ESP8266 Development Board Micro USB 3.3V Based On ESP-8266EX 11 Digital Pin Leads Lua WiFi Bluetooth D1 Mini Dev Board,1,1,299.0,https://udvabony.com/product/esp8266-d1-mini-wifi-dev-board/,D1 Mini ESP8266 Arduino WIFI Board D1 Mini ESP8266 Development Board Micro USB 3.3V Based On ESP-8266EX 11 Digital Pin Leads Lua WiFi Bluetooth D1 Mini Dev Board,,,,,,,,,
FS1000A Transmitter And Receiver 433MHz Module For Arduino FS1000A 433MHz RF Transmitter Receiver Module FS1000A 433MHz TX & RX RF Radio Module,2,4,120.0,https://udvabony.com/product/fs1000a-433mhz-rf-module/,FS1000A Transmitter And Receiver 433MHz Module For Arduino FS1000A 433MHz RF Transmitter Receiver Module FS1000A 433MHz TX & RX RF Radio Module,,,,,,,120.0,https://electronics.com.bd/rf-433mhz-transmitter-and-receiver-kit,RF 433MHz transmitter and receiver kit
TTL RS485 To USB 2.0 Serial Converter Adapters Module FTDI Interface Board FT232RL FT232 Chip Dual Function Double Protection SN75176 Serial Converter Adapters,1,3,199.0,https://udvabony.com/product/ftdi-module-usb-to-ttl/,FTDI TTL Module FT232RL Serial Converter FTDI USB To TTL Converter Adapters 5V 3.3V USB To Serial Converter FT232 FTDI Module 6 Pin Header,,,,,,,,,
HC05 Bluetooth Module 6 Pin HC 05 Bluetooth Module Serial Port HC05 Integrated Bluetooth Serial Port HC05 Module For Arduino,2,2,270.0,https://udvabony.com/product/hc05-serial-port-bluetooth/,HC05 Bluetooth Module 6 Pin HC 05 Bluetooth Module Serial Port HC05 Integrated Bluetooth Serial Port HC05 Module For Arduino,,,,,,,750.0,https://electronics.com.bd/hc-05-bluetooth-module,HC-05 Bluetooth Module | Wireless Serial Communication
