id,sku,name,price,currency,in_stock,categories,short_description,permalink,shop
6712,u6712,FCH47N60 47N60C3 47N60 47N60F MOSFET 600V 47A TO-247 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,399.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,FCH47N60 47N60C3 47N60 47N60F MOSFET 600V 47A TO-247 Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/fch47n60f-n-channel-mosfet-600v-47a/,udvabony
6720,u6720,A Class FCPF20N60C3 IC FQPF20N60C FQPF20N60 20N60 IC TO-220F 20A 600V Transistor Silicon N-Channel Power MOSFET Transistor 3 Pin Leads,80.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,FQPF20N60C FQPF20N60 FCPF20N60 20N60 TO-220F 20A 600V Field Effect Transistor Silicon N-Channel Power MOSFET Transistor,https://udvabony.com/product/fqpf20n60-20a-n-channel-mosfet/,udvabony
6732,u6732,IRF1010E IRF1010 F1010E IRF1010N F1010N 1010 MOSFET 85A 55V TO-220 N-Channel In-Line Power MOSFET Field Effect Transistor,99.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF1010E IRF1010 F1010E IRF1010N F1010N 1010 MOSFET 85A 55V TO-220 N-Channel In-Line Power MOSFET Field Effect Transistor,https://udvabony.com/product/irf1010n-n-channel-mosfet/,udvabony
6737,u6737,IRF2807PBF IRF2807 IRF 2807 MOSFET 82A 80V TO-220 N-Channel 3 Pin Power MOSFET,89.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF2807PBF IRF2807 IRF 2807 MOSFET 82A 80V TO-220 N-Channel 3 Pin Power MOSFET,https://udvabony.com/product/irf2807pbf-n-channel-mosfet-82a-80v/,udvabony
6740,u6740,IRF3808PBF IRF3808 IRF 3808 TO-220 N-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC Electronic Components,80.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF3808PBF IRF3808 IRF 3808 TO-220 N-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC Electronic Components,https://udvabony.com/product/irf3808-75v-n-channel-power-mosfe/,udvabony
6743,u6743,A CLASS IRF5210 IRF5210PBF IRF 5210 100V 40A 200W TO-220 P-Channel Power MOSFET 3 Pin Leads IC Power Transistor MOSFET IC,170.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF5210PBF IRF5210 IRF 5210 100V 40A 200W TO-220 P-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC,https://udvabony.com/product/irf5210-p-channel-mosfet-transistor/,udvabony
6746,u6746,IRF530PBF IC IRF530 MOSFET IRF530 Transistor 100V 14A 79W TO-220 N-Channel Power MOSFET 3 Pin Leads IC,70.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF530PBF IRF530 IRF 530 100V 14A 79W TO-220 N-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC,https://udvabony.com/product/irf530-mosfet-100v-single-n-channel/,udvabony
6749,u6749,IRF640 IRF640PBF IRF 640 200V 18A 125W TO-220 N-Channel Power MOSFET 3 Pin Leads IC Power Transistors,50.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF640PBF IRF640 IRF 640 200V 18A 125W TO-220 N-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC,https://udvabony.com/product/irf640-200v-n-channel-mosfet/,udvabony
6752,u6752,IRF650PBF IRF650 IRF 650 200V 28A 156W TO-220 N-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC Electronic Components,60.0,BDT,no,MOSFETs & IGBTs | MOSFETs,IRF650PBF IRF650 IRF 650 200V 28A 156W TO-220 N-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC,https://udvabony.com/product/irf650-200v-n-channel-mosfet/,udvabony
6755,u6755,IRF740 IRF 740 MOSFET 400V 10A N-Channel Power MOSFET TO-220 Package THT 3 Pin MOSFET Transistor,80.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF740 MOSFET IRF 740 400V 10A N-Channel Power MOSFET TO-220 Package THT 3 Pin MOSFET Transistor,https://udvabony.com/product/irf740-400v-n-channel-mosfet/,udvabony
6758,u6758,IRF830 IRF 830 500V 4.5A 75W TO-220 N-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC Electronic Components,70.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF830 IRF 830 500V 4.5A 75W TO-220 N-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC,https://udvabony.com/product/irf830-n-channel-mosfet/,udvabony
6761,u6761,IRF9530PBF IRF9530 IRF 9530 100V 12A 88W TO-220 P-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC Electronic Components,75.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF9530PBF IRF 9530 IRF 9530 100V 12A 88W TO-220 P-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC,https://udvabony.com/product/irf9530-mosfet-100v-single-p-channel/,udvabony
6763,u6763,IRF9Z34NPBF IRF9Z34N MOSFET IRF9Z34 IC 55V 19A 56W TO-220 3 Pin Leads MOSFET IRF9Z34N Transistor P-Channel Power MOSFET,79.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRF9Z34NPBF IRF9Z34N IRF9Z34 55V 19A 56W TO-220 MOS FET Transistor P-Channel Power MOSFET,https://udvabony.com/product/irf9z34n-p-channel-mosfet/,udvabony
6766,u6766,IRFB4110 IC IRFB4110 MOSFET Transistor 100V 180A 370W TO-220 N-Channel Power MOSFET 3 Pin Lead IC IRF4110 Transistor,299.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRFB4110PBF IRFB4110 IRF 4110 100V 180A 370W TO-220 N-Channel Power MOSFET 3 Pin IC Power Transistor Field Effect MOSFET IC,https://udvabony.com/product/irfb4110-mosfet-n-ch-si-100v-180a/,udvabony
6769,u6769,IRFP054NPBF IRFP054N IRFP054 IRFP 054 Power MOSFET 55V 72A 130W N-Channel TO-247 HEXFET Power Transistor MOSFET 3 Pin IC MOS Field Effect IC Electronic Components,130.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,IRFP054NPBF IRFP054N IRFP054 IRFP 054 Power MOSFET 55V 72A 130W N-Channel TO-247 HEXFET Power Transistor MOSFET 3 Pin IC,https://udvabony.com/product/irfp054n-hexfet-power-mosfet/,udvabony
